LEBA,37.842,-4.849
LEBB,43.301,-2.911
LEBG,42.358,-3.621
LEBL,41.297,2.078
LEBZ,38.891,-6.821
LECO,43.302,-8.377
LEGA,37.133,-3.636
LEGE,41.901,2.760
LEGR,37.189,-3.777
LEGT,40.294,-3.724
LEIB,38.873,1.373
LEJR,36.744,-6.060
LELC,37.775,-0.812
LELN,42.589,-5.656
LEMD,40.472,-3.561
LEMG,36.674,-4.499
LEMH,39.863,4.219
LEMM,40.417,-3.500
LEMO,37.175,-5.616
LEOC,39.938,-3.503
LEPA,39.550,2.733
LEPP,42.770,-1.646
LERI,37.951,-1.230
LERS,41.147,1.167
LERT,36.645,-6.349
LESA,40.952,-5.502
LESB,39.599,2.703
LESJ,39.552,2.739
LESL,39.862,4.258
LESO,43.356,-1.791
LEST,42.896,-8.415
LESU,42.339,1.409
LETO,40.487,-3.458
LEVC,39.489,-0.481
LEVD,41.706,-4.852
LEVS,40.371,-3.785
LEVT,42.883,-2.724
LEVX,42.232,-8.627
LEXJ,43.427,-3.820
LEZG,41.666,-1.041
LEZL,37.418,-5.893
LFAC,50.962,1.955
LFAG,49.869,3.028
LFAI,48.594,3.005
LFAO,48.546,-0.387
LFAQ,49.971,2.700
LFAT,50.515,1.627
LFAV,50.326,3.461
LFAY,49.871,2.386
LFBA,44.175,0.591
LFBC,44.533,-1.125
LFBD,44.828,-0.716
LFBE,44.825,0.519
LFBF,43.546,1.367
LFBG,45.658,-0.318
LFBI,46.588,0.307
LFBK,46.224,2.363
LFBL,45.863,1.179
LFBM,43.912,-0.507
LFBN,46.311,-0.401
LFBO,43.629,1.364
LFBP,43.380,-0.419
LFBR,43.449,1.263
LFBT,43.179,-0.006
LFBU,45.729,0.221
LFBV,45.151,1.469
LFBX,45.198,0.816
LFBZ,43.468,-1.523
LFCC,44.351,1.475
LFCG,43.008,1.103
LFCH,44.596,-1.111
LFCI,43.914,2.113
LFCK,43.556,2.289
LFCL,43.586,1.499
LFCM,43.990,3.183
LFCR,44.408,2.482
LFCU,45.535,2.424
LFCW,44.397,0.759
LFCY,45.628,-0.973
LFCZ,44.146,-1.174
LFDA,43.709,-0.245
LFDB,44.026,1.378
LFDH,43.688,0.602
LFDI,44.982,-0.135
LFDJ,43.091,1.696
LFDM,44.499,0.200
LFDN,45.888,-0.983
LFEC,48.463,-5.064
LFED,48.058,-2.922
LFES,48.052,-3.664
LFEY,46.719,-2.391
LFFI,47.408,-1.177
LFFN,48.430,4.481
LFGA,48.110,7.359
LFGF,47.006,4.893
LFGJ,47.039,5.427
LFGK,47.992,3.392
LFGW,49.122,5.469
LFHO,44.544,4.372
